Company_ID,Year,Industry,Company_Size,Revenue_GBP,AI_Investment_GBP,AI_Adoption_Pct,AI_Tools_Used,AI_Maturity_Level,Data_Quality_Score,Decision_Accuracy_Pct,Decision_Time_Days,Revenue_Growth_Pct,Employee_Productivity_Index,Customer_Satisfaction_Index,Ethical_Compliance,Scope1_Emissions_Tonnes,Scope2_Emissions_Tonnes,Revenue_per_Employee,AI_Invest_per_Employee,Revenue_Growth_Computed,AI_Maturity_Num
C0002,2017,Technology,2190,9711180191.95,208417.82,38.98,4,Low,6.21,77.81,14.21,4.82,76.54,74.77,Yes,497.54,363.29,4434328.8547716895,95.16795433789954,11.72053988991344,1
C0002,2018,Technology,2190,9944564421.15,285051.55,58.07,4,Medium,7.28,85.01,9.86,4.01,78.17,70.19,Yes,429.65,352.84,4540896.995958904,130.16052511415523,2.4032529989862716,2
C0002,2019,Technology,2190,9916084378.15,267586.33,42.46,3,Medium,8.8,82.8,12.95,2.92,86.27,66.75,Yes,388.67,168.69,4527892.410114155,122.1855388127854,-0.286388038669938,2
C0002,2020,Technology,2190,9378031192.02,306977.09,49.0,4,Medium,8.55,81.16,7.03,1.19,81.19,69.09,No,522.85,182.87,4282206.023753425,140.17218721461188,-5.426065023363402,2
C0002,2021,Technology,2190,10161457796.52,240043.67,52.24,3,Medium,7.06,81.51,9.58,2.35,80.97,71.93,No,517.15,421.26,4639935.06690411,109.60898173515983,8.353849421684977,2
C0002,2022,Technology,2190,14338589532.39,308048.49,56.55,6,Medium,6.72,85.47,10.55,7.16,78.45,64.62,Yes,408.84,156.82,6547301.156342465,140.6614109589041,41.10760305770835,2
C0002,2023,Technology,2190,17463331069.57,232944.96,60.51,6,Medium,7.93,88.7,5.64,8.88,90.05,67.19,Yes,325.32,196.65,7974123.77605936,106.36756164383561,21.79253077941452,2
C0002,2024,Technology,2190,14392033080.51,377594.5,56.89,4,Medium,8.78,86.22,5.92,5.57,87.68,70.09,No,525.24,237.23,6571704.6029726025,172.4175799086758,-17.58712571401547,2
C0003,2015,Technology,10418,11737922430.01,130719.39,36.12,1,Low,3.78,74.31,13.35,8.54,59.28,62.66,No,1600.57,716.44,1126696.3361499328,12.547455365713189,,1
C0003,2016,Technology,10418,13060022008.38,102806.35,29.57,3,Low,1.88,68.88,19.77,11.26,54.22,63.27,No,2455.74,2204.16,1253601.6517930503,9.868146477250912,11.263488800963838,1
C0003,2017,Technology,10418,14137646227.75,112113.97,47.39,5,Medium,3.13,70.24,14.04,9.75,71.51,67.57,No,2774.64,1434.74,1357040.3367009023,10.7615636398541,8.251320087198465,2
C0003,2018,Technology,10418,12164646566.59,143614.1,43.55,3,Medium,3.47,73.8,14.32,1.2,62.67,67.21,No,2041.14,1673.74,1167656.6103465157,13.785189095795738,-13.955644591582072,2
C0003,2019,Technology,10418,16328626027.46,110611.62,43.01,3,Medium,3.87,73.55,14.83,8.6,65.96,64.57,No,2356.11,1495.64,1567347.4781589555,10.617356498368208,34.230172147428426,2
C0003,2020,Technology,10418,14840397589.56,105024.53,34.28,2,Low,2.97,75.07,12.39,4.8,54.9,68.13,No,1845.94,1340.3,1424495.8331311191,10.081064503743521,-9.114229423818221,1
C0003,2021,Technology,10418,14844659935.82,87781.19,37.63,3,Low,2.33,71.3,16.3,3.99,63.43,68.91,No,2104.0,802.16,1424904.9660030715,8.425915722787483,0.02872124034600798,1
C0003,2022,Technology,10418,12961460605.26,140265.89,48.31,5,Medium,4.4,77.72,12.63,1.43,73.82,72.16,No,2252.0,888.61,1244140.9680610483,13.463802073334614,-12.686038876618932,2
C0003,2023,Technology,10418,17308804193.48,126214.66,51.32,3,Medium,3.34,75.24,13.3,4.97,64.27,72.63,No,2423.43,1061.03,1661432.5392090613,12.115056632751008,33.5405377574173,2
C0003,2024,Technology,10418,17049992915.8,106423.17,54.33,3,Medium,4.64,79.27,7.09,4.24,70.23,73.04,No,2557.36,1963.85,1636589.8364177383,10.21531675945479,-1.4952579900204266,2
C0004,2015,Healthcare,14002,5591046661.96,75400.74,35.16,3,Low,6.2,78.31,11.52,3.61,67.13,75.33,Yes,10943.65,5515.78,399303.43250678474,5.384997857448936,,1
C0004,2016,Healthcare,14002,6188432531.9,79407.22,39.47,4,Low,4.34,75.7,12.14,10.68,63.41,66.65,No,8848.87,4252.38,441967.7568847307,5.671134123696615,10.684687609646604,1
C0004,2017,Healthcare,14002,6641199741.63,87379.29,40.96,3,Medium,7.95,75.81,9.58,8.99,84.2,66.02,No,13346.95,8225.67,474303.6524517926,6.240486359091558,7.3163471912489175,2
C0004,2018,Healthcare,14002,5845094932.61,76016.68,40.65,3,Medium,5.42,70.28,11.92,1.49,61.54,66.11,No,13629.26,7421.05,417447.1455942008,5.428987287530353,-11.987364331623107,2
C0004,2019,Healthcare,14002,5966867082.08,64645.8,49.88,2,Medium,6.4,82.83,9.21,1.64,78.38,67.24,No,9874.7,8873.89,426143.9138751607,4.616897586059134,2.0833220139955033,2
C0004,2020,Healthcare,14002,7341403042.96,76466.54,43.87,4,Medium,6.81,80.7,11.86,5.6,82.73,63.85,No,12468.65,6721.68,524311.0300642765,5.461115554920725,23.036141780467624,2
C0004,2021,Healthcare,14002,6746604620.04,81052.42,47.07,5,Medium,6.7,80.47,9.78,3.18,72.33,69.21,Yes,11678.52,4580.54,481831.49693186686,5.788631624053706,-8.101972054107275,2
C0004,2022,Healthcare,14002,6635227923.43,69042.86,47.16,5,Medium,7.18,82.79,9.98,2.48,83.11,71.73,No,9381.81,4441.97,473877.1549371519,4.930928438794458,-1.6508555470876152,2
C0004,2023,Healthcare,14002,5787085261.71,83734.56,55.1,5,Medium,8.11,81.64,8.39,0.43,83.03,77.27,No,12318.36,7056.87,413304.1895236395,5.980185687758891,-12.782419406047518,2
C0004,2024,Healthcare,14002,11160728958.7,72327.92,55.45,5,Medium,6.7,84.51,8.63,7.98,80.4,58.41,No,12636.95,6054.51,797081.0568990145,5.165542065419226,92.85578929594284,2
C0005,2015,Finance,2745,7160190170.61,256559.83,41.31,3,Medium,7.25,81.2,9.54,6.55,76.33,66.68,Yes,219.52,186.18,2608448.1495846994,93.46441894353369,,2
C0005,2016,Finance,2745,7802478165.25,217169.31,44.97,2,Medium,7.05,79.05,10.37,8.97,85.93,69.75,No,319.93,155.82,2842432.84708561,79.11450273224044,8.970264466946155,2
C0005,2017,Finance,2745,7359352568.2,194091.83,43.51,3,Medium,7.03,78.44,9.05,1.38,72.45,63.63,No,247.52,103.17,2681002.75708561,70.70740619307831,-5.679293010053577,2
C0005,2018,Finance,2745,8583378774.04,236111.08,47.85,3,Medium,6.71,77.39,10.88,6.23,76.62,64.2,No,273.74,219.58,3126913.9431839706,86.01496539162112,16.632253917675534,2
C0005,2019,Finance,2745,9638463324.0,226905.43,45.14,4,Medium,9.0,84.47,9.83,7.71,84.17,79.8,No,244.44,85.94,3511279.899453552,82.66135883424408,12.292182108414584,2
C0005,2020,Finance,2745,10132223873.61,242719.48,43.83,5,Medium,7.79,80.4,9.59,7.19,76.98,68.32,No,327.85,196.07,3691156.2381092897,88.4223970856102,5.122814011031451,2
C0005,2021,Finance,2745,9610830153.12,170353.08,53.83,6,Medium,9.68,85.12,4.0,5.03,82.19,74.73,No,277.84,223.75,3501213.1705355193,62.05940983606557,-5.145896172389175,2
C0005,2022,Finance,2745,11275012910.22,222910.41,63.28,7,Medium,9.11,86.76,5.49,6.7,82.66,70.79,No,342.59,286.1,4107472.8270382513,81.2059781420765,17.315702500056652,2
C0005,2023,Finance,2745,16934010873.49,215113.92,59.52,5,Medium,8.68,83.25,7.5,11.36,96.03,64.41,No,218.54,123.86,6169038.569577414,78.36572677595629,50.19061182750859,2
C0005,2024,Finance,2745,11368712383.65,244683.31,55.47,3,Medium,8.11,85.11,5.52,5.27,89.43,76.82,No,348.97,249.96,4141607.4257377046,89.13781785063752,-32.864620977375246,2
C0006,2015,Finance,28429,4919354320.74,29565.94,37.65,3,Low,6.13,73.6,12.78,7.37,70.82,64.57,No,2564.99,1072.49,173040.0056540856,1.0399922614231947,,1
C0006,2016,Finance,28429,5081366270.41,29706.02,36.61,4,Low,5.59,79.16,11.64,3.29,69.36,68.75,No,3231.65,2825.97,178738.83254458476,1.0449196243272714,3.2933580121878414,1
C0006,2017,Finance,28429,5732744624.1,25734.95,38.6,5,Low,5.9,81.23,9.76,7.95,62.19,71.81,No,3354.84,1693.22,201651.2935418059,0.9052358507158184,12.81896086655141,1
C0006,2018,Finance,28429,5882027881.86,29026.89,44.92,3,Medium,4.78,78.63,11.95,6.14,69.97,68.94,No,2277.62,1774.45,206902.38425058918,1.0210309894825707,2.604045139782163,2
C0006,2019,Finance,28429,7101472352.16,26873.29,32.44,3,Low,4.69,69.24,12.65,9.61,61.62,68.75,No,2542.84,1212.11,249796.7692201625,0.9452773576277745,20.73170163066944,1
C0006,2020,Finance,28429,6058399220.47,24988.2,56.16,4,Medium,6.22,82.34,9.6,4.25,79.25,73.75,Yes,1808.41,1268.99,213106.3076601358,0.8789686587639383,-14.688124940354609,2
C0006,2021,Finance,28429,7950108226.33,26768.96,38.78,2,Low,6.1,78.84,11.69,8.33,70.9,73.67,Yes,3166.89,1841.02,279647.832365894,0.941607513454571,31.22456835575196,1
C0006,2022,Finance,28429,8210525173.33,26538.79,48.19,4,Medium,5.5,83.26,8.79,7.59,75.8,66.73,No,2817.39,1327.41,288808.08939216996,0.9335112033486933,3.2756402754056113,2
C0006,2023,Finance,28429,5676872272.06,34867.57,59.4,4,Medium,6.48,81.83,7.86,1.81,78.55,73.99,No,2650.13,950.58,199685.96405290373,1.2264789475535545,-30.858597322129743,2
C0006,2024,Finance,28429,8154233311.54,30643.11,41.68,3,Medium,7.37,81.82,12.34,5.78,66.09,65.25,No,2406.42,816.79,286828.00350135425,1.0778820922297654,43.63954164818693,2
C0007,2015,Manufacturing,42979,6436269563.12,208991.91,33.12,3,Low,8.3,80.98,11.7,3.55,77.55,74.59,No,111733.75,39618.69,149753.82310244537,4.862651760161939,,1
C0007,2016,Manufacturing,42979,6866566826.94,184327.27,35.21,3,Low,8.32,79.8,7.08,6.69,81.86,70.88,Yes,118124.79,71667.84,159765.62569952768,4.288775215803066,6.685507180830563,1
C0007,2017,Manufacturing,42979,7449860788.56,220492.1,41.58,4,Medium,6.11,79.05,11.17,7.59,77.75,62.38,Yes,115565.82,74446.11,173337.22954373067,5.130228716349845,8.494695767490823,2
C0007,2018,Manufacturing,42979,6793854123.14,142973.42,45.61,3,Medium,8.1,89.96,6.12,1.82,92.12,73.4,No,119489.35,67888.81,158073.8063505433,3.326587868493916,-8.805623138990237,2
C0007,2019,Manufacturing,42979,8262898400.67,112308.99,46.33,5,Medium,7.1,82.88,7.54,6.44,74.76,69.99,Yes,131175.84,63477.07,192254.31956699784,2.613113148281719,21.62313542362362,2
C0007,2020,Manufacturing,42979,9094906261.87,168425.92,40.17,3,Medium,9.04,83.02,8.7,7.16,90.31,73.02,Yes,106654.87,52591.47,211612.79373345125,3.918795690918821,10.069201155039465,2
C0007,2021,Manufacturing,42979,9330746624.41,180838.05,49.14,4,Medium,8.23,82.62,9.88,6.38,75.15,69.37,No,87302.3,62264.01,217100.13319086065,4.207590916494102,2.5931038292142716,2
C0007,2022,Manufacturing,42979,10481026900.45,194237.5,57.26,4,Medium,8.69,87.74,8.0,7.21,86.04,70.59,No,78216.29,37226.88,243863.90796551807,4.519358291258522,12.3278481598758,2
C0007,2023,Manufacturing,42979,15313172541.59,260435.66,53.39,4,Medium,8.56,84.31,8.47,11.44,85.3,68.94,No,92898.31,56366.39,356294.2958558831,6.059602596616952,46.10374238169861,2
C0007,2024,Manufacturing,42979,15337911132.32,168771.88,61.83,5,Medium,8.25,85.99,8.7,10.13,88.44,70.2,No,106454.15,38547.21,356869.89302496566,3.926845203471463,0.1615510480458049,2
C0008,2015,Healthcare,20921,10250408906.6,116021.12,37.25,3,Low,7.23,80.84,11.1,6.41,76.42,72.96,No,14033.89,5362.02,489957.8847378233,5.545677548874337,,1
C0008,2016,Healthcare,20921,10839009403.65,85546.79,42.3,4,Medium,7.82,77.93,9.75,5.74,78.95,71.5,No,16198.99,11997.65,518092.3188972802,4.089039242866019,5.742214797606882,2
C0008,2017,Healthcare,20921,11794915537.26,96790.49,41.86,3,Medium,8.64,84.53,5.35,7.27,76.75,58.74,Yes,15548.06,12384.2,563783.5446326657,4.626475311887577,8.819128187932957,2
C0008,2018,Healthcare,20921,11545414985.99,92141.47,47.5,3,Medium,7.3,83.5,10.17,4.05,79.18,71.26,Yes,15784.9,10951.41,551857.7021170116,4.404257444672817,-2.11532291589398,2
C0008,2019,Healthcare,20921,12068821628.73,104613.71,38.55,5,Low,8.4,86.09,11.04,4.17,79.67,65.14,Yes,20156.89,11554.92,576875.9442058218,5.000416328091392,4.533458895805276,1
C0008,2020,Healthcare,20921,14119185805.31,131966.13,43.95,3,Medium,8.77,82.27,8.85,6.61,80.98,71.64,No,15464.88,7900.63,674881.019325558,6.307830887624875,16.98893429412429,2
C0008,2021,Healthcare,20921,19790365339.21,102870.82,54.15,1,Medium,8.04,79.49,9.48,11.59,84.32,69.62,No,16161.36,6029.45,945956.9494388413,4.917108168825583,40.16647710498407,2
C0008,2022,Healthcare,20921,16216997439.21,88676.1,51.74,5,Medium,8.06,82.65,7.33,6.77,93.53,73.07,No,15033.02,8382.9,775154.0289283495,4.238616700922519,-18.05609870637509,2
C0008,2023,Healthcare,20921,17090207198.38,103825.32,59.72,5,Medium,9.03,81.55,5.89,6.6,89.47,70.91,No,20377.28,7357.33,816892.4620419673,4.962732182974046,5.384534112700323,2
C0008,2024,Healthcare,20921,19614251221.65,115078.34,56.11,2,Medium,7.69,79.28,5.13,7.48,81.59,68.82,Yes,19158.22,10918.16,937538.8949691697,5.50061373739305,14.768949223209304,2
C0009,2015,Technology,27636,7641960119.15,296762.6,40.65,2,Medium,7.24,80.61,9.83,7.16,76.15,64.81,Yes,6306.28,4690.29,276521.9322315096,10.738261687653784,,2
C0009,2016,Technology,27636,8217455204.46,174954.16,34.73,4,Low,7.63,80.3,12.4,7.53,71.56,69.02,Yes,6977.24,5712.0,297346.0415566652,6.33066145607179,7.530726100858165,1
C0009,2017,Technology,27636,8368655484.51,239002.86,39.74,3,Low,8.16,87.42,6.56,4.65,72.94,66.92,No,5372.58,3164.55,302817.1763102475,8.648243595310465,1.8399890998850532,1
C0009,2018,Technology,27636,8680905414.79,215511.91,51.8,3,Medium,6.96,80.68,10.84,4.34,80.8,78.67,No,5814.13,4169.81,314115.84219098283,7.79823093067014,3.7311839501334543,2
C0009,2019,Technology,27636,9960831877.18,239917.8,52.13,4,Medium,7.5,81.2,7.4,6.85,70.81,70.68,No,3697.08,1469.17,360429.58015559416,8.681350412505427,14.744158601352098,2
C0009,2020,Technology,27636,11324527499.62,239095.96,50.12,4,Medium,6.49,78.66,9.01,8.18,68.31,71.3,Yes,5802.3,2633.65,409774.47892676224,8.651612389636705,13.690579654940183,2
C0009,2021,Technology,27636,15958583864.66,247757.65,45.33,3,Medium,8.21,88.78,9.78,13.06,76.6,69.91,Yes,4853.96,2657.0,577456.356370676,8.965032928064844,40.92052728200357,2
C0009,2022,Technology,27636,10277236085.05,226832.76,53.84,2,Medium,7.36,80.37,6.93,4.32,77.68,63.02,No,5414.17,4373.97,371878.56726914167,8.207872340425531,-35.600576014712956,2
C0009,2023,Technology,27636,11169108326.65,213108.11,52.63,5,Medium,8.32,80.11,8.48,4.86,85.94,70.57,Yes,6892.95,5358.52,404150.6848548994,7.711250180923432,8.678133247297692,2
C0009,2024,Technology,27636,13587720215.04,281762.08,51.5,5,Medium,6.3,74.87,12.74,6.6,79.74,73.69,Yes,4978.43,1783.63,491667.3981415545,10.195472572007526,21.654476057135952,2
C0010,2015,Manufacturing,23036,7123633455.32,24305.54,22.04,2,Low,5.67,76.33,13.71,4.02,71.29,60.58,Yes,56890.29,47290.08,309239.1671870116,1.0551111304045842,,1
C0010,2016,Manufacturing,23036,7672441432.72,28442.35,43.2,4,Medium,5.35,74.2,11.37,7.7,78.71,72.25,No,63812.5,22792.66,333063.09397117555,1.2346913526653933,7.704045707042173,2
C0010,2017,Manufacturing,23036,7305408038.48,15835.63,41.33,3,Medium,5.34,73.49,10.99,1.27,63.89,63.5,No,68253.63,42135.84,317130.05897204374,0.6874296752908491,-4.783788803844691,2
C0010,2018,Manufacturing,23036,8653413559.19,14565.91,43.63,5,Medium,5.88,78.07,10.96,6.7,63.86,63.59,Yes,62492.51,28005.14,375647.4022916305,0.6323107310296926,18.452159189597772,2
C0010,2019,Manufacturing,23036,8904727254.99,21226.04,34.78,4,Low,6.48,78.18,11.21,5.74,80.21,73.98,No,63413.84,26942.39,386557.0088118597,0.921429067546449,2.9042145516447793,1
C0010,2020,Manufacturing,23036,9405820376.08,19652.83,32.64,5,Low,5.25,75.73,13.72,5.72,66.55,63.3,Yes,54577.57,33420.78,408309.6186872721,0.8531355270012155,5.627270849976895,1
C0010,2021,Manufacturing,23036,12759920611.74,22456.08,38.43,4,Low,5.95,74.88,8.27,10.2,79.3,60.87,No,70305.15,28256.29,553912.1640797013,0.9748254905365515,35.65983722366028,1
C0010,2022,Manufacturing,23036,13046822889.43,26154.18,50.3,4,Medium,7.38,82.39,10.54,9.03,81.79,64.36,No,48895.95,30070.57,566366.6821249349,1.1353611738148985,2.2484644412758437,2
C0010,2023,Manufacturing,23036,12755216638.54,20336.92,56.96,5,Medium,6.08,80.81,9.62,7.55,73.76,64.76,Yes,56697.14,38470.25,553707.9631246745,0.8828320889043236,-2.2350748022052724,2
C0010,2024,Manufacturing,23036,17405356878.12,20344.46,57.51,4,Medium,7.54,85.58,7.9,10.44,79.15,77.38,No,39657.74,30304.21,755572.0124205591,0.8831594026740753,36.45677193384203,2
C0011,2015,Healthcare,3786,16122561375.93,276970.3,41.98,4,Medium,4.44,68.28,11.67,1.52,64.14,74.74,Yes,2903.22,2424.83,4258468.403573693,73.15644479661913,,2
C0011,2016,Healthcare,3786,17465033677.61,264748.16,39.73,2,Low,4.55,73.75,11.99,8.33,70.16,68.08,No,2548.04,1381.25,4613056.967144744,69.92819862651875,8.326668885777844,1
C0011,2017,Healthcare,3786,18778890935.47,343898.32,31.77,3,Low,5.06,79.68,10.82,7.92,63.94,64.5,No,2676.45,2325.59,4960087.410319598,90.83421024828316,7.522786855798347,1
C0011,2018,Healthcare,3786,21487561390.45,326455.03,42.81,2,Medium,5.92,79.37,11.13,10.05,67.85,69.52,Yes,3364.76,1176.29,5675531.270589013,86.22689646064448,14.424017181247905,2
C0011,2019,Healthcare,3786,18073879240.61,296322.76,42.16,4,Medium,6.24,78.81,14.13,2.9,72.51,76.33,No,3352.44,1639.99,4773871.960013207,78.26802958267301,-15.886782533439037,2
C0011,2020,Healthcare,3786,21312618653.08,331773.75,46.58,2,Medium,6.62,76.42,11.39,5.74,66.16,70.01,Yes,2943.47,1082.63,5629323.468853672,87.63173534072901,17.91944811268249,2
C0011,2021,Healthcare,3786,24759139294.52,311226.68,51.76,3,Medium,6.19,78.65,7.13,7.41,81.04,68.68,No,3022.79,1871.49,6539656.443349182,82.20461701003698,16.171267818100453,2
C0011,2022,Healthcare,3786,30937404906.04,319175.67,43.91,4,Medium,6.53,79.87,10.62,9.76,71.72,76.67,No,2695.71,1042.86,8171527.973069202,84.30419175911251,24.95347490890949,2
C0011,2023,Healthcare,3786,25397317261.42,369137.78,65.94,4,Medium,6.48,90.05,10.53,5.84,79.68,68.73,No,3004.72,1234.24,6708219.033655573,97.50073428420497,-17.907409045606137,2
C0011,2024,Healthcare,3786,24979947914.52,336985.7,60.25,5,Medium,6.87,84.7,5.35,4.99,81.9,71.23,No,2524.36,1269.88,6597978.846941363,89.00837295298469,-1.643359976189318,2
C0012,2015,Manufacturing,8734,18001655616.92,146412.91,33.4,3,Low,5.96,79.69,13.59,13.39,70.98,64.58,No,21921.67,13783.56,2061100.9407968856,16.76355736203343,,1
C0012,2016,Manufacturing,8734,19298266096.27,140864.33,34.37,2,Low,4.55,72.72,9.42,7.2,69.47,63.91,Yes,17142.62,11562.23,2209556.45709526,16.12827226929242,7.20272905416155,1
C0012,2017,Manufacturing,8734,22961484708.5,134277.71,39.64,3,Low,6.61,79.62,9.91,12.94,72.94,65.47,No,23794.61,18091.3,2628976.953114266,15.374136707121593,18.982112662121665,1
C0012,2018,Manufacturing,8734,19452872927.51,155607.34,45.91,6,Medium,6.61,85.0,9.12,2.62,80.35,76.79,No,20203.15,14781.64,2227258.1780982367,17.8162743302038,-15.280422087388656,2
C0012,2019,Manufacturing,8734,19578159184.97,164441.06,41.41,5,Medium,6.73,78.67,9.57,2.12,75.72,75.26,No,24423.32,16360.58,2241602.8377570417,18.82769177925349,0.6440501509821894,2
C0012,2020,Manufacturing,8734,21454329461.33,170884.79,50.4,5,Medium,6.84,82.07,12.01,3.57,78.69,69.63,No,21979.79,14972.93,2456415.097473094,19.565467139912986,9.582975900003522,2
C0012,2021,Manufacturing,8734,26396906319.59,167095.25,50.74,3,Medium,5.33,75.65,11.0,6.59,75.26,70.13,No,20443.96,6328.01,3022315.8140130523,19.13158346691092,23.037666440093886,2
C0012,2022,Manufacturing,8734,29235077745.81,181287.06,52.59,7,Medium,5.54,81.22,7.68,7.17,75.23,70.01,No,19151.69,6292.82,3347272.4691790706,20.756475841538812,10.751909302771967,2
C0012,2023,Manufacturing,8734,19009879097.43,152202.93,52.51,4,Medium,6.15,83.39,10.92,0.68,75.01,70.06,Yes,17412.33,13025.63,2176537.5655404166,17.426486146095716,-34.97578743345564,2
C0012,2024,Manufacturing,8734,42527071896.15,184282.86,53.39,6,Medium,6.28,80.71,10.66,10.02,79.92,68.99,Yes,20400.54,11214.96,4869140.359073735,21.099480192351727,123.71037542211067,2
C0013,2015,Retail,30552,16163233386.23,75160.68,38.85,4,Low,7.2,79.25,11.85,3.69,79.0,68.06,No,16128.04,9450.83,529040.1082164834,2.4600903377847603,,1
C0013,2016,Retail,30552,17180181422.0,62071.51,38.41,3,Low,6.35,80.14,11.36,6.29,63.11,67.5,Yes,17718.53,12684.31,562325.917190364,2.0316676485991096,6.291736383862223,1
C0013,2017,Retail,30552,17962975374.77,58115.36,49.3,2,Medium,7.29,77.66,8.84,5.42,75.84,65.8,No,16176.19,13922.32,587947.6098052501,1.902178580780309,4.556377686254209,2
C0013,2018,Retail,30552,23405964878.65,68406.52,39.86,2,Low,7.72,82.11,9.31,13.14,74.43,70.49,No,12580.69,9619.36,766102.542506219,2.2390193768002096,30.301157744306572,1
C0013,2019,Retail,30552,22672522791.51,76656.96,42.55,3,Medium,6.38,76.85,11.08,8.83,81.67,70.4,No,18889.57,9495.19,742096.189824234,2.5090652003142186,-3.1335691177124647,2
C0013,2020,Retail,30552,17747142152.06,96515.82,43.37,3,Medium,6.69,80.38,9.54,1.89,75.64,74.26,No,16893.82,9828.68,580883.1550163656,3.159067164179105,-21.724007887178598,2
C0013,2021,Retail,30552,19471875347.71,64896.23,41.86,5,Medium,7.33,81.21,10.47,3.15,73.33,73.08,Yes,17355.76,14019.04,637335.5376967138,2.124123788949987,9.718371447482888,2
C0013,2022,Retail,30552,25539044598.15,89326.42,49.96,3,Medium,7.92,79.74,9.98,6.75,79.65,67.23,No,14616.37,6822.72,835920.5485123724,2.923750327310814,31.158628237385134,2
C0013,2023,Retail,30552,15208663576.46,73655.42,51.44,3,Medium,6.41,78.67,9.25,-0.76,69.44,63.8,No,13699.88,8189.0,497796.00603757525,2.410821550144017,-40.44936364784106,2
C0013,2024,Retail,30552,20746888953.61,73510.47,61.34,5,Medium,7.71,88.81,9.48,2.81,81.83,80.49,No,16513.06,9924.96,679068.1118620712,2.4060771798900236,36.414937770877366,2
C0014,2015,Manufacturing,20835,9646251203.19,99877.52,26.7,2,Low,7.01,77.79,10.33,8.15,74.82,73.3,No,60318.01,20160.86,462983.0191115911,4.79373746100312,,1
C0014,2016,Manufacturing,20835,10344279233.43,129029.82,42.97,3,Medium,5.76,76.53,12.45,7.24,75.07,66.25,Yes,48078.79,28039.14,496485.684349892,6.19293592512599,7.236262207324251,2
C0014,2017,Manufacturing,20835,12191556814.16,117481.04,32.84,2,Low,7.58,81.33,10.74,12.42,74.18,71.17,No,44945.81,24604.79,585147.9152464602,5.638638828893688,17.857963218549642,1
C0014,2018,Manufacturing,20835,12768555265.9,127833.37,46.85,2,Medium,7.02,82.58,10.56,9.8,88.11,75.92,Yes,62518.17,41417.65,612841.6254331653,6.13551091912647,4.73277088837285,2
C0014,2019,Manufacturing,20835,12656240353.41,138546.39,50.39,5,Medium,6.89,81.8,9.75,7.03,83.75,68.76,No,34931.47,28322.4,607450.9408884089,6.649694744420447,-0.8796211486036376,2
C0014,2020,Manufacturing,20835,12482071518.01,101250.31,45.12,3,Medium,8.32,89.5,8.99,5.29,79.44,67.56,No,48936.9,20160.93,599091.5055440365,4.859626109911207,-1.3761498718146026,2
