Company_ID,Year,Industry,Company_Size,Revenue_GBP,AI_Investment_GBP,AI_Adoption_Pct,AI_Tools_Used,AI_Maturity_Level,Data_Quality_Score,Decision_Accuracy_Pct,Decision_Time_Days,Revenue_Growth_Pct,Employee_Productivity_Index,Customer_Satisfaction_Index,Ethical_Compliance,Scope1_Emissions_Tonnes,Scope2_Emissions_Tonnes
C0003,2023,Technology,10418,17308804193.48,126214.66,51.32,3,Medium,3.34,75.24,13.3,4.97,64.27,72.63,No,2423.43,1061.03
C0003,2024,Technology,10418,17049992915.8,106423.17,54.33,3,Medium,4.64,79.27,7.09,4.24,70.23,73.04,No,2557.36,1963.85
C0004,2015,Healthcare,14002,5591046661.96,75400.74,35.16,3,Low,6.2,78.31,11.52,3.61,67.13,75.33,Yes,10943.65,5515.78
C0004,2016,Healthcare,14002,6188432531.9,79407.22,39.47,4,Low,4.34,75.7,12.14,10.68,63.41,66.65,No,8848.87,4252.38
C0004,2017,Healthcare,14002,6641199741.63,87379.29,40.96,3,Medium,7.95,75.81,9.58,8.99,84.2,66.02,No,13346.95,8225.67
C0004,2018,Healthcare,14002,5845094932.61,76016.68,40.65,3,Medium,5.42,70.28,11.92,1.49,61.54,66.11,No,13629.26,7421.05
C0004,2019,Healthcare,14002,5966867082.08,64645.8,49.88,2,Medium,6.4,82.83,9.21,1.64,78.38,67.24,No,9874.7,8873.89
C0004,2020,Healthcare,14002,7341403042.96,76466.54,43.87,4,Medium,6.81,80.7,11.86,5.6,82.73,63.85,No,12468.65,6721.68
C0004,2021,Healthcare,14002,6746604620.04,81052.42,47.07,5,Medium,6.7,80.47,9.78,3.18,72.33,69.21,Yes,11678.52,4580.54
C0004,2022,Healthcare,14002,6635227923.43,69042.86,47.16,5,Medium,7.18,82.79,9.98,2.48,83.11,71.73,No,9381.81,4441.97
C0004,2023,Healthcare,14002,5787085261.71,83734.56,55.1,5,Medium,8.11,81.64,8.39,0.43,83.03,77.27,No,12318.36,7056.87
C0004,2024,Healthcare,14002,11160728958.7,72327.92,55.45,5,Medium,6.7,84.51,8.63,7.98,80.4,58.41,No,12636.95,6054.51
C0005,2015,Finance,2745,7160190170.61,256559.83,41.31,3,Medium,7.25,81.2,9.54,6.55,76.33,66.68,Yes,219.52,186.18
C0005,2016,Finance,2745,7802478165.25,217169.31,44.97,2,Medium,7.05,79.05,10.37,8.97,85.93,69.75,No,319.93,155.82
C0005,2017,Finance,2745,7359352568.2,194091.83,43.51,3,Medium,7.03,78.44,9.05,1.38,72.45,63.63,No,247.52,103.17
C0005,2018,Finance,2745,8583378774.04,236111.08,47.85,3,Medium,6.71,77.39,10.88,6.23,76.62,64.2,No,273.74,219.58
C0005,2019,Finance,2745,9638463324.0,226905.43,45.14,4,Medium,9.0,84.47,9.83,7.71,84.17,79.8,No,244.44,85.94
C0005,2020,Finance,2745,10132223873.61,242719.48,43.83,5,Medium,7.79,80.4,9.59,7.19,76.98,68.32,No,327.85,196.07
C0005,2021,Finance,2745,9610830153.12,170353.08,53.83,6,Medium,9.68,85.12,4.0,5.03,82.19,74.73,No,277.84,223.75
C0005,2022,Finance,2745,11275012910.22,222910.41,63.28,7,Medium,9.11,86.76,5.49,6.7,82.66,70.79,No,342.59,286.1
C0005,2023,Finance,2745,16934010873.49,215113.92,59.52,5,Medium,8.68,83.25,7.5,11.36,96.03,64.41,No,218.54,123.86
C0005,2024,Finance,2745,11368712383.65,244683.31,55.47,3,Medium,8.11,85.11,5.52,5.27,89.43,76.82,No,348.97,249.96
C0006,2015,Finance,28429,4919354320.74,29565.94,37.65,3,Low,6.13,73.6,12.78,7.37,70.82,64.57,No,2564.99,1072.49
C0006,2016,Finance,28429,5081366270.41,29706.02,36.61,4,Low,5.59,79.16,11.64,3.29,69.36,68.75,No,3231.65,2825.97
C0006,2017,Finance,28429,5732744624.1,25734.95,38.6,5,Low,5.9,81.23,9.76,7.95,62.19,71.81,No,3354.84,1693.22
C0006,2018,Finance,28429,5882027881.86,29026.89,44.92,3,Medium,4.78,78.63,11.95,6.14,69.97,68.94,No,2277.62,1774.45
C0006,2019,Finance,28429,7101472352.16,26873.29,32.44,3,Low,4.69,69.24,12.65,9.61,61.62,68.75,No,2542.84,1212.11
C0006,2020,Finance,28429,6058399220.47,24988.2,56.16,4,Medium,6.22,82.34,9.6,4.25,79.25,73.75,Yes,1808.41,1268.99
C0006,2021,Finance,28429,7950108226.33,26768.96,38.78,2,Low,6.1,78.84,11.69,8.33,70.9,73.67,Yes,3166.89,1841.02
C0006,2022,Finance,28429,8210525173.33,26538.79,48.19,4,Medium,5.5,83.26,8.79,7.59,75.8,66.73,No,2817.39,1327.41
C0006,2023,Finance,28429,5676872272.06,34867.57,59.4,4,Medium,6.48,81.83,7.86,1.81,78.55,73.99,No,2650.13,950.58
C0006,2024,Finance,28429,8154233311.54,30643.11,41.68,3,Medium,7.37,81.82,12.34,5.78,66.09,65.25,No,2406.42,816.79
C0007,2015,Manufacturing,42979,6436269563.12,208991.91,33.12,3,Low,8.3,80.98,11.7,3.55,77.55,74.59,No,111733.75,39618.69
C0007,2016,Manufacturing,42979,6866566826.94,184327.27,35.21,3,Low,8.32,79.8,7.08,6.69,81.86,70.88,Yes,118124.79,71667.84
C0007,2017,Manufacturing,42979,7449860788.56,220492.1,41.58,4,Medium,6.11,79.05,11.17,7.59,77.75,62.38,Yes,115565.82,74446.11
C0007,2018,Manufacturing,42979,6793854123.14,142973.42,45.61,3,Medium,8.1,89.96,6.12,1.82,92.12,73.4,No,119489.35,67888.81
C0007,2019,Manufacturing,42979,8262898400.67,112308.99,46.33,5,Medium,7.1,82.88,7.54,6.44,74.76,69.99,Yes,131175.84,63477.07
C0007,2020,Manufacturing,42979,9094906261.87,168425.92,40.17,3,Medium,9.04,83.02,8.7,7.16,90.31,73.02,Yes,106654.87,52591.47
C0007,2021,Manufacturing,42979,9330746624.41,180838.05,49.14,4,Medium,8.23,82.62,9.88,6.38,75.15,69.37,No,87302.3,62264.01
C0007,2022,Manufacturing,42979,10481026900.45,194237.5,57.26,4,Medium,8.69,87.74,8.0,7.21,86.04,70.59,No,78216.29,37226.88
C0007,2023,Manufacturing,42979,15313172541.59,260435.66,53.39,4,Medium,8.56,84.31,8.47,11.44,85.3,68.94,No,92898.31,56366.39
C0007,2024,Manufacturing,42979,15337911132.32,168771.88,61.83,5,Medium,8.25,85.99,8.7,10.13,88.44,70.2,No,106454.15,38547.21
C0008,2015,Healthcare,20921,10250408906.6,116021.12,37.25,3,Low,7.23,80.84,11.1,6.41,76.42,72.96,No,14033.89,5362.02
C0008,2016,Healthcare,20921,10839009403.65,85546.79,42.3,4,Medium,7.82,77.93,9.75,5.74,78.95,71.5,No,16198.99,11997.65
C0008,2017,Healthcare,20921,11794915537.26,96790.49,41.86,3,Medium,8.64,84.53,5.35,7.27,76.75,58.74,Yes,15548.06,12384.2
C0008,2018,Healthcare,20921,11545414985.99,92141.47,47.5,3,Medium,7.3,83.5,10.17,4.05,79.18,71.26,Yes,15784.9,10951.41
C0008,2019,Healthcare,20921,12068821628.73,104613.71,38.55,5,Low,8.4,86.09,11.04,4.17,79.67,65.14,Yes,20156.89,11554.92
C0008,2020,Healthcare,20921,14119185805.31,131966.13,43.95,3,Medium,8.77,82.27,8.85,6.61,80.98,71.64,No,15464.88,7900.63
C0008,2021,Healthcare,20921,19790365339.21,102870.82,54.15,1,Medium,8.04,79.49,9.48,11.59,84.32,69.62,No,16161.36,6029.45
C0008,2022,Healthcare,20921,16216997439.21,88676.1,51.74,5,Medium,8.06,82.65,7.33,6.77,93.53,73.07,No,15033.02,8382.9
C0008,2023,Healthcare,20921,17090207198.38,103825.32,59.72,5,Medium,9.03,81.55,5.89,6.6,89.47,70.91,No,20377.28,7357.33
C0008,2024,Healthcare,20921,19614251221.65,115078.34,56.11,2,Medium,7.69,79.28,5.13,7.48,81.59,68.82,Yes,19158.22,10918.16
C0009,2015,Technology,27636,7641960119.15,296762.6,40.65,2,Medium,7.24,80.61,9.83,7.16,76.15,64.81,Yes,6306.28,4690.29
C0009,2016,Technology,27636,8217455204.46,174954.16,34.73,4,Low,7.63,80.3,12.4,7.53,71.56,69.02,Yes,6977.24,5712.0
C0009,2017,Technology,27636,8368655484.51,239002.86,39.74,3,Low,8.16,87.42,6.56,4.65,72.94,66.92,No,5372.58,3164.55
C0009,2018,Technology,27636,8680905414.79,215511.91,51.8,3,Medium,6.96,80.68,10.84,4.34,80.8,78.67,No,5814.13,4169.81
C0009,2019,Technology,27636,9960831877.18,239917.8,52.13,4,Medium,7.5,81.2,7.4,6.85,70.81,70.68,No,3697.08,1469.17
C0009,2020,Technology,27636,11324527499.62,239095.96,50.12,4,Medium,6.49,78.66,9.01,8.18,68.31,71.3,Yes,5802.3,2633.65
C0009,2021,Technology,27636,15958583864.66,247757.65,45.33,3,Medium,8.21,88.78,9.78,13.06,76.6,69.91,Yes,4853.96,2657.0
C0009,2022,Technology,27636,10277236085.05,226832.76,53.84,2,Medium,7.36,80.37,6.93,4.32,77.68,63.02,No,5414.17,4373.97
C0009,2023,Technology,27636,11169108326.65,213108.11,52.63,5,Medium,8.32,80.11,8.48,4.86,85.94,70.57,Yes,6892.95,5358.52
C0009,2024,Technology,27636,13587720215.04,281762.08,51.5,5,Medium,6.3,74.87,12.74,6.6,79.74,73.69,Yes,4978.43,1783.63
C0010,2015,Manufacturing,23036,7123633455.32,24305.54,22.04,2,Low,5.67,76.33,13.71,4.02,71.29,60.58,Yes,56890.29,47290.08
C0010,2016,Manufacturing,23036,7672441432.72,28442.35,43.2,4,Medium,5.35,74.2,11.37,7.7,78.71,72.25,No,63812.5,22792.66
C0010,2017,Manufacturing,23036,7305408038.48,15835.63,41.33,3,Medium,5.34,73.49,10.99,1.27,63.89,63.5,No,68253.63,42135.84
C0010,2018,Manufacturing,23036,8653413559.19,14565.91,43.63,5,Medium,5.88,78.07,10.96,6.7,63.86,63.59,Yes,62492.51,28005.14
C0010,2019,Manufacturing,23036,8904727254.99,21226.04,34.78,4,Low,6.48,78.18,11.21,5.74,80.21,73.98,No,63413.84,26942.39
C0010,2020,Manufacturing,23036,9405820376.08,19652.83,32.64,5,Low,5.25,75.73,13.72,5.72,66.55,63.3,Yes,54577.57,33420.78
C0010,2021,Manufacturing,23036,12759920611.74,22456.08,38.43,4,Low,5.95,74.88,8.27,10.2,79.3,60.87,No,70305.15,28256.29
C0010,2022,Manufacturing,23036,13046822889.43,26154.18,50.3,4,Medium,7.38,82.39,10.54,9.03,81.79,64.36,No,48895.95,30070.57
C0010,2023,Manufacturing,23036,12755216638.54,20336.92,56.96,5,Medium,6.08,80.81,9.62,7.55,73.76,64.76,Yes,56697.14,38470.25
C0010,2024,Manufacturing,23036,17405356878.12,20344.46,57.51,4,Medium,7.54,85.58,7.9,10.44,79.15,77.38,No,39657.74,30304.21
C0011,2015,Healthcare,3786,16122561375.93,276970.3,41.98,4,Medium,4.44,68.28,11.67,1.52,64.14,74.74,Yes,2903.22,2424.83
C0011,2016,Healthcare,3786,17465033677.61,264748.16,39.73,2,Low,4.55,73.75,11.99,8.33,70.16,68.08,No,2548.04,1381.25
C0011,2017,Healthcare,3786,18778890935.47,343898.32,31.77,3,Low,5.06,79.68,10.82,7.92,63.94,64.5,No,2676.45,2325.59
C0011,2018,Healthcare,3786,21487561390.45,326455.03,42.81,2,Medium,5.92,79.37,11.13,10.05,67.85,69.52,Yes,3364.76,1176.29
C0011,2019,Healthcare,3786,18073879240.61,296322.76,42.16,4,Medium,6.24,78.81,14.13,2.9,72.51,76.33,No,3352.44,1639.99
C0011,2020,Healthcare,3786,21312618653.08,331773.75,46.58,2,Medium,6.62,76.42,11.39,5.74,66.16,70.01,Yes,2943.47,1082.63
C0011,2021,Healthcare,3786,24759139294.52,311226.68,51.76,3,Medium,6.19,78.65,7.13,7.41,81.04,68.68,No,3022.79,1871.49
C0011,2022,Healthcare,3786,30937404906.04,319175.67,43.91,4,Medium,6.53,79.87,10.62,9.76,71.72,76.67,No,2695.71,1042.86
C0011,2023,Healthcare,3786,25397317261.42,369137.78,65.94,4,Medium,6.48,90.05,10.53,5.84,79.68,68.73,No,3004.72,1234.24
C0011,2024,Healthcare,3786,24979947914.52,336985.7,60.25,5,Medium,6.87,84.7,5.35,4.99,81.9,71.23,No,2524.36,1269.88
C0012,2015,Manufacturing,8734,18001655616.92,146412.91,33.4,3,Low,5.96,79.69,13.59,13.39,70.98,64.58,No,21921.67,13783.56
C0012,2016,Manufacturing,8734,19298266096.27,140864.33,34.37,2,Low,4.55,72.72,9.42,7.2,69.47,63.91,Yes,17142.62,11562.23
C0012,2017,Manufacturing,8734,22961484708.5,134277.71,39.64,3,Low,6.61,79.62,9.91,12.94,72.94,65.47,No,23794.61,18091.3
C0012,2018,Manufacturing,8734,19452872927.51,155607.34,45.91,6,Medium,6.61,85.0,9.12,2.62,80.35,76.79,No,20203.15,14781.64
C0012,2019,Manufacturing,8734,19578159184.97,164441.06,41.41,5,Medium,6.73,78.67,9.57,2.12,75.72,75.26,No,24423.32,16360.58
C0012,2020,Manufacturing,8734,21454329461.33,170884.79,50.4,5,Medium,6.84,82.07,12.01,3.57,78.69,69.63,No,21979.79,14972.93
C0012,2021,Manufacturing,8734,26396906319.59,167095.25,50.74,3,Medium,5.33,75.65,11.0,6.59,75.26,70.13,No,20443.96,6328.01
C0012,2022,Manufacturing,8734,29235077745.81,181287.06,52.59,7,Medium,5.54,81.22,7.68,7.17,75.23,70.01,No,19151.69,6292.82
C0012,2023,Manufacturing,8734,19009879097.43,152202.93,52.51,4,Medium,6.15,83.39,10.92,0.68,75.01,70.06,Yes,17412.33,13025.63
C0012,2024,Manufacturing,8734,42527071896.15,184282.86,53.39,6,Medium,6.28,80.71,10.66,10.02,79.92,68.99,Yes,20400.54,11214.96
C0013,2015,Retail,30552,16163233386.23,75160.68,38.85,4,Low,7.2,79.25,11.85,3.69,79.0,68.06,No,16128.04,9450.83
C0013,2016,Retail,30552,17180181422.0,62071.51,38.41,3,Low,6.35,80.14,11.36,6.29,63.11,67.5,Yes,17718.53,12684.31
C0013,2017,Retail,30552,17962975374.77,58115.36,49.3,2,Medium,7.29,77.66,8.84,5.42,75.84,65.8,No,16176.19,13922.32
C0013,2018,Retail,30552,23405964878.65,68406.52,39.86,2,Low,7.72,82.11,9.31,13.14,74.43,70.49,No,12580.69,9619.36
C0013,2019,Retail,30552,22672522791.51,76656.96,42.55,3,Medium,6.38,76.85,11.08,8.83,81.67,70.4,No,18889.57,9495.19
C0013,2020,Retail,30552,17747142152.06,96515.82,43.37,3,Medium,6.69,80.38,9.54,1.89,75.64,74.26,No,16893.82,9828.68
C0013,2021,Retail,30552,19471875347.71,64896.23,41.86,5,Medium,7.33,81.21,10.47,3.15,73.33,73.08,Yes,17355.76,14019.04
C0013,2022,Retail,30552,25539044598.15,89326.42,49.96,3,Medium,7.92,79.74,9.98,6.75,79.65,67.23,No,14616.37,6822.72
C0013,2023,Retail,30552,15208663576.46,73655.42,51.44,3,Medium,6.41,78.67,9.25,-0.76,69.44,63.8,No,13699.88,8189.0
C0013,2024,Retail,30552,20746888953.61,73510.47,61.34,5,Medium,7.71,88.81,9.48,2.81,81.83,80.49,No,16513.06,9924.96
C0014,2015,Manufacturing,20835,9646251203.19,99877.52,26.7,2,Low,7.01,77.79,10.33,8.15,74.82,73.3,No,60318.01,20160.86
C0014,2016,Manufacturing,20835,10344279233.43,129029.82,42.97,3,Medium,5.76,76.53,12.45,7.24,75.07,66.25,Yes,48078.79,28039.14
C0014,2017,Manufacturing,20835,12191556814.16,117481.04,32.84,2,Low,7.58,81.33,10.74,12.42,74.18,71.17,No,44945.81,24604.79
C0014,2018,Manufacturing,20835,12768555265.9,127833.37,46.85,2,Medium,7.02,82.58,10.56,9.8,88.11,75.92,Yes,62518.17,41417.65
C0014,2019,Manufacturing,20835,12656240353.41,138546.39,50.39,5,Medium,6.89,81.8,9.75,7.03,83.75,68.76,No,34931.47,28322.4
C0014,2020,Manufacturing,20835,12482071518.01,101250.31,45.12,3,Medium,8.32,89.5,8.99,5.29,79.44,67.56,No,48936.9,20160.93
C0014,2021,Manufacturing,20835,13059205823.28,96567.14,49.8,3,Medium,7.39,85.27,9.78,5.18,81.79,76.64,Yes,62810.86,39232.59
C0014,2022,Manufacturing,20835,12868435586.72,158965.78,51.78,5,Medium,8.11,92.66,8.6,4.2,84.26,70.79,No,67053.08,52718.99
C0014,2023,Manufacturing,20835,12511332887.9,151745.44,56.74,5,Medium,7.98,85.75,5.57,3.3,86.06,70.1,Yes,48301.99,31777.64
C0014,2024,Manufacturing,20835,11214553707.5,142820.45,66.49,6,Medium,8.58,85.98,7.27,1.69,96.36,74.53,Yes,47327.0,17084.25
C0015,2015,Retail,959,15731402922.38,21148.85,27.84,4,Low,5.68,68.92,11.95,10.85,72.78,72.91,No,610.91,319.54
C0015,2016,Retail,959,16298094073.04,23129.17,39.01,2,Low,5.48,76.56,12.97,3.6,70.94,67.28,No,398.3,319.72
C0015,2017,Retail,959,17271869307.26,23910.92,30.92,3,Low,5.94,78.16,11.9,4.78,76.48,74.99,Yes,545.59,467.9
C0015,2018,Retail,959,22574703968.38,20566.64,34.75,2,Low,5.99,82.47,14.7,12.79,66.23,77.01,No,424.87,152.3
C0015,2019,Retail,959,28107724315.85,17551.36,42.3,4,Medium,6.36,77.52,11.6,15.62,84.24,67.86,No,476.98,217.37
C0015,2020,Retail,959,18522562182.74,21233.79,38.74,2,Low,6.02,75.88,9.62,3.32,72.02,71.92,Yes,443.87,324.12
C0015,2021,Retail,959,25261833127.08,19281.41,40.41,4,Medium,5.56,76.75,12.25,8.21,68.89,65.36,No,402.13,142.76
C0015,2022,Retail,959,24237677688.23,15479.34,40.62,2,Medium,5.79,79.26,11.93,6.37,72.29,69.62,No,509.68,160.44
C0015,2023,Retail,959,19489019627.47,26029.28,43.31,4,Medium,6.14,74.79,8.57,2.71,69.15,69.39,No,491.82,149.61
C0015,2024,Retail,959,42341586000.51,19866.74,45.33,1,Medium,5.42,80.4,11.28,11.63,74.17,65.17,No,549.62,377.99
C0016,2015,Finance,25883,17451817829.29,100015.3,42.04,2,Medium,7.28,77.35,10.51,5.51,79.29,71.6,No,3031.22,1394.52
C0016,2016,Finance,25883,18235940959.12,113612.15,33.27,5,Low,7.07,80.91,10.06,4.49,69.59,64.36,No,2282.89,1937.57
C0016,2017,Finance,25883,18903523917.72,106324.64,37.52,3,Low,6.24,82.71,9.47,4.08,74.01,70.36,Yes,3030.14,1506.71
C0016,2018,Finance,25883,21669170335.72,113230.07,40.64,4,Medium,9.02,81.14,6.69,7.48,82.94,78.67,Yes,2583.71,1583.93
C0016,2019,Finance,25883,19037614084.13,124699.69,41.97,6,Medium,7.93,78.81,9.43,2.2,80.57,60.57,Yes,2389.33,1635.29
C0016,2020,Finance,25883,20577974906.95,111760.61,46.1,5,Medium,7.79,82.23,9.87,3.35,77.24,69.67,No,2104.19,1505.82
C0016,2021,Finance,25883,23028500849.06,90211.09,49.27,4,Medium,8.26,82.11,10.4,4.73,82.5,69.77,No,2708.73,1114.46
C0016,2022,Finance,25883,38096262901.11,112717.82,56.76,5,Medium,8.74,84.01,7.71,11.8,85.62,67.72,Yes,2739.8,1798.58
C0016,2023,Finance,25883,40021328205.92,111089.98,50.3,3,Medium,8.23,84.93,6.79,10.93,81.85,70.74,Yes,2690.07,1823.02
C0016,2024,Finance,25883,32458317527.74,115640.58,55.86,5,Medium,8.13,84.33,7.0,7.14,84.93,71.5,Yes,3570.05,1279.58
C0017,2015,Manufacturing,37175,12891246961.76,676101.06,32.24,3,Low,3.31,72.06,14.02,5.13,70.76,64.42,No,101367.16,81038.79
C0017,2016,Manufacturing,37175,14320016433.0,689307.71,48.89,3,Medium,2.31,68.7,14.47,11.08,73.19,63.63,No,78422.93,47830.64
C0017,2017,Manufacturing,37175,14705931738.76,861459.99,38.59,2,Low,2.29,62.01,14.6,6.81,61.89,57.4,No,85664.54,27749.1
C0017,2018,Manufacturing,37175,15779593830.36,659394.85,43.16,3,Medium,2.29,70.02,15.06,6.97,59.13,75.35,No,104000.92,73365.67
C0017,2019,Manufacturing,37175,21694811497.63,699597.38,42.71,4,Medium,3.78,75.27,10.91,13.9,67.76,68.25,Yes,94810.43,70160.92
C0017,2020,Manufacturing,37175,17200949101.93,693320.78,46.29,3,Medium,3.23,71.55,13.54,5.94,63.92,62.37,Yes,95780.76,80171.79
C0017,2021,Manufacturing,37175,14696145247.79,672416.93,39.52,4,Low,2.67,69.97,12.31,2.21,63.02,65.05,No,87240.18,64313.07
C0017,2022,Manufacturing,37175,20023219560.12,711319.03,43.73,3,Medium,3.48,77.59,11.45,6.49,66.85,66.67,No,98069.79,40686.3
C0017,2023,Manufacturing,37175,32426849580.93,570418.93,55.95,3,Medium,3.77,79.86,12.56,12.22,78.58,65.72,No,87190.23,30339.52
C0017,2024,Manufacturing,37175,29378055316.55,629823.93,58.06,5,Medium,4.63,76.65,12.74,9.58,68.15,64.12,No,89199.0,27786.45
C0018,2015,Technology,883,10633970145.28,363741.99,41.48,3,Medium,3.35,70.63,14.96,5.97,61.39,60.93,Yes,146.13,48.76
C0018,2016,Technology,883,11100306760.29,382624.67,50.05,5,Medium,2.69,72.05,9.13,4.39,59.6,65.69,No,206.0,164.1
C0018,2017,Technology,883,12712342973.27,266400.98,42.07,3,Medium,4.08,77.24,13.21,9.34,69.14,70.13,No,109.38,93.41
C0018,2018,Technology,883,13564836018.01,277487.87,41.17,2,Medium,3.62,69.89,12.33,8.45,62.92,56.08,No,209.66,102.5
C0018,2019,Technology,883,12406313570.39,357324.61,45.69,4,Medium,3.44,74.11,13.79,3.93,69.09,69.16,No,174.68,94.27
C0018,2020,Technology,883,11980461310.24,290993.6,48.71,3,Medium,5.04,80.72,11.84,2.41,67.77,70.15,No,130.85,80.98
C0018,2021,Technology,883,15703661350.68,359862.25,44.94,6,Medium,3.57,69.65,13.71,6.71,69.35,62.65,No,188.07,158.84
C0018,2022,Technology,883,15796072553.72,305387.56,54.41,7,Medium,4.91,77.64,11.27,5.82,69.83,64.31,Yes,154.38,57.15
C0018,2023,Technology,883,16944228331.02,294006.81,55.31,5,Medium,5.56,79.3,11.73,6.0,77.56,67.94,Yes,205.24,73.62
C0018,2024,Technology,883,14484929309.74,329960.99,60.63,5,Medium,5.94,81.95,11.83,3.49,85.55,60.61,No,186.28,151.56
C0019,2015,Finance,5149,12697244593.36,81389.91,25.88,5,Low,4.42,73.75,16.35,5.28,63.91,60.76,No,587.94,277.69
C0019,2016,Finance,5149,13606013732.08,95259.34,41.57,3,Medium,6.87,77.76,10.9,7.16,70.53,68.47,No,556.75,212.48
C0019,2017,Finance,5149,14243989340.27,91394.62,49.26,3,Medium,5.56,75.87,10.63,5.92,78.99,70.46,No,559.15,295.88
C0019,2018,Finance,5149,14688670569.5,103750.37,38.25,3,Low,6.26,80.74,11.0,4.98,69.02,67.25,No,543.0,473.35
C0019,2019,Finance,5149,16045088586.93,86575.07,49.03,5,Medium,6.12,81.0,8.66,6.02,75.31,61.67,No,536.65,207.98
C0019,2020,Finance,5149,12856607371.64,74231.23,51.86,3,Medium,6.67,79.69,8.7,0.25,85.86,73.27,No,475.61,289.02
